name,year,abv,size,grape type,country,wine_type,style,at its best,wine maker,price per bottle,num_review,rating,url
Perez Cruz Single Vineyard La Higuera Block 2020,2020,13.50%,75cl,Cabernet blend,Chile,Red,Full Bodied Reds,Now - End 2027,German Lyon,21.99,4156,4.5 out of 5 stars from 4156 customers,https://www.virginwines.co.uk/wine/Z35842100826/Perez-Cruz-Single-Vineyard-La-Higuera-Block
Senti Prosecco Rose Extra Dry NV,NV,11.00%,75cl,Prosecco (Glera),Italy,Sparkling,Prosecco,Within 1 year of purchase,Damiano Canali,14.99,257,4.4 out of 5 stars from 257 customers,https://www.virginwines.co.uk/wine/Z40721102951/Senti-Prosecco-Rose-Extra-Dry
Villa des Croix Picpoul de Pinet 2021,2021,12.50%,75cl,Picpoul,France,White,Dry and Crisp Whites,Now - End 2024,Claude Serra,14.99,1,5 out of 5 stars from 1 customer,https://www.virginwines.co.uk/wine/Z42138102619/Villa-des-Croix-Picpoul-de-Pinet
Black Flag Winemakers Old Vine Grenache 2018,2018,14.00%,75cl,Grenache / Garnacha blend,Australia,Red,Light Reds,Now - End 2029,Steve Grimley,25.99,49,4.5 out of 5 stars from 49 customers,https://www.virginwines.co.uk/wine/Z39673102291/Black-Flag-Winemakers-Old-Vine-Grenache
The Black Pig Sauvignon Blanc 2021,2021,12.00%,75cl,Sauvignon Blanc,Australia,White,Fruity Whites,Now - End 2025,Fuse Winemaking Team,12.99,4991,4.4 out of 5 stars from 4991 customers,https://www.virginwines.co.uk/wine/Z36689102291/The-Black-Pig-Sauvignon-Blanc
Gypsy Lee Rose White Zinfandel 2020,2020,11.00%,75cl,Zinfandel / Primitivo,USA,Rosé,Sweeter Style Rosé,Now - End 2023,Natale Gagliardo,9.99,1594,3.8 out of 5 stars from 1594 customers,https://www.virginwines.co.uk/wine/Z36682101414/Gypsy-Lee-Rose-White-Zinfandel
El Nubarron Semillon 2021,2021,12.00%,75cl,Semillon,Chile,White,Dry and Crisp Whites,Now - End 2024,Oscar Salas Steinlen,10.99,82,4.1 out of 5 stars from 82 customers,https://www.virginwines.co.uk/wine/Z41547101414/El-Nubarron-Semillon
Hielo y Fuego Merlot 2021,2021,13.00%,75cl,Merlot,Chile,Red,Light Reds,Now - End 2024,Rodrigo Frías Hodgson,10.99,1157,3.9 out of 5 stars from 1157 customers,https://www.virginwines.co.uk/wine/Z39633101414/Hielo-y-Fuego-Merlot
Hummingbird Verdelho 2021,2021,12.50%,75cl,Verdelho,Australia,White,Dry and Crisp Whites,Now - End 2023,Fuse Winemaking Team,9.99,2723,4.2 out of 5 stars from 2723 customers,https://www.virginwines.co.uk/wine/Z36658102291/Hummingbird-Verdelho
Ombra Prosecco Frizzante NV,NV,11.00%,75cl,Prosecco (Glera),Italy,Sparkling,Prosecco,Within 1 year of purchase,Giovanni Gregoletto,12.99,710,4.1 out of 5 stars from 710 customers,https://www.virginwines.co.uk/wine/Z33252100790/Ombra-Prosecco-Frizzante
Domaine Giraud Chateauneuf-du-Pape 2020,2020,15.50%,75cl,Grenache / Garnacha blend,France,Red,Full Bodied Reds,Now - End 2034,Francois and Marie Giraud,37.99,9,4 out of 5 stars from 9 customers,https://www.virginwines.co.uk/wine/Z40509100834/Domaine-Giraud-Chateauneuf-du-Pape
Kurt Angerer Kies Gruner Veltliner 2020,2020,13.00%,75cl,Other White Blends,Austria,White,Aromatic Whites,Now - End 2025,Kurt Angerer,13.99,55,4 out of 5 stars from 55 customers,https://www.virginwines.co.uk/wine/Z38262102920/Kurt-Angerer-Kies-Gruner-Veltliner
Depasso Nero d'Avola Leggermente Appassito 2020,2020,14.00%,75cl,Nero d'Avola,Italy,Red,Full Bodied Reds,Now - End 2025,Fabrizio Vella,14.99,1658,4.4 out of 5 stars from 1658 customers,https://www.virginwines.co.uk/wine/Z38735101434/Depasso-Nero-dAvola-Leggermente-Appassito
The Black Pig Viognier 2021,2021,13.50%,75cl,Viognier,Australia,White,Aromatic Whites,Now - End 2023,Fuse Winemaking Team,11.99,3168,4.3 out of 5 stars from 3168 customers,https://www.virginwines.co.uk/wine/Z36776102291/The-Black-Pig-Viognier
Les Arbousiers Coteaux du Languedoc Cinsault Grenache Rose 2020,2020,13.50%,75cl,Cinsault blends,France,Rosé,Sweeter Style Rosé,Now - End 2024,Jean Marie Lasmenes,11.99,1454,4.1 out of 5 stars from 1454 customers,https://www.virginwines.co.uk/wine/Z34305101061/Les-Arbousiers-Coteaux-du-Languedoc-Cinsault-Grenache-Rose
Louis Moreau Chablis 2019,2019,12.50%,75cl,Chardonnay,France,White,Dry and Crisp Whites,Now - End 2023,Louis Moreau,17,494,4.3 out of 5 stars from 494 customers,https://www.virginwines.co.uk/wine/Z37135102468/Louis-Moreau-Chablis
Mercurey Les Bois de Lalier Jean-Baptiste Jessiaume 2020,2020,13.00%,75cl,Chardonnay,France,White,Dry and Crisp Whites,Now - End 2028,Jean-Baptiste Jessiaume,26.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z41924102128/Mercurey-Les-Bois-de-Lalier-Jean-Baptiste-Jessiaume
The Benevolent Carmenere 2021,2021,13.50%,75cl,Carmenere blend,Chile,Red,Full Bodied Reds,now - 2025,,11.99,19,4 out of 5 stars from 19 customers,https://www.virginwines.co.uk/wine/Z41881101414/The-Benevolent-Carmenere
Eghemon Passimiento 2020,2020,13.50%,75cl,Nero d'Avola,Italy,Red,Full Bodied Reds,Now - End 2026,Maurizio Biscardo,15.99,1193,4.6 out of 5 stars from 1193 customers,https://www.virginwines.co.uk/wine/Z37042101434/Eghemon-Passimiento
Ali di Api Pinot Grigio 2021,2021,12.50%,75cl,Pinot Grigio,Italy,White,Dry and Crisp Whites,Now - End 2024,Ivano Emiliani,9.99,29,3.7 out of 5 stars from 29 customers,https://www.virginwines.co.uk/wine/Z41947101414/Ali-di-Api-Pinot-Grigio-Z41947101414
Finca Manzanos Seleccion de la Familia Rioja Blanco 2020,2020,12.50%,75cl,Viura blend,Spain,White,Aromatic Whites,Now - End 2024,Borja Ripa and Victor Fernadez de Manzanos,11.99,2314,4 out of 5 stars from 2314 customers,https://www.virginwines.co.uk/wine/Z35519101434/Finca-Manzanos-Seleccion-de-la-Familia-Rioja-Blanco
Quintas do Homem Domum Vinho Verde 2020,2020,12.00%,75cl,Other white grapes,Portugal,White,Dry and Crisp Whites,Now - End 2023,Ana Coutinho,11.99,1363,4 out of 5 stars from 1363 customers,https://www.virginwines.co.uk/wine/Z37601101434/Quintas-do-Homem-Domum-Vinho-Verde
Les Arbousiers Reserve Coteaux du Languedoc 2020,2020,13.00%,75cl,Syrah / Shiraz blend,France,Red,Full Bodied Reds,Now - End 2026,Gavin Crisfield,11.99,1126,4 out of 5 stars from 1126 customers,https://www.virginwines.co.uk/wine/Z34552101061/Les-Arbousiers-Reserve-Coteaux-du-Languedoc
Kraft des Landes Gruner Veltliner 2020,2020,12.50%,75cl,Gruner Veltliner,Austria,White,Dry and Crisp Whites,Now - End 2023,Ferdinand Mayr,13.99,65,4.2 out of 5 stars from 65 customers,https://www.virginwines.co.uk/wine/Z41532101434/Kraft-des-Landes-Gruner-Veltliner
The Benevolent Cabernet Merlot Petit Verdot 2021,2021,14.00%,75cl,Cabernet blend,Australia,Red,Full Bodied Reds,now - 2025,,11.99,8,3.2 out of 5 stars from 8 customers,https://www.virginwines.co.uk/wine/Z41882101414/The-Benevolent-Cabernet-Merlot-Petit-Verdot
Tall Gum Sauvignon Blanc 2021,2021,13.00%,75cl,Sauvignon Blanc,Australia,White,Dry and Crisp Whites,Now - End 2025,David King,11.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z42074101414/Tall-Gum-Sauvignon-Blanc
Hattingley Valley Classic Reserve Brut NV,NV,12.00%,75cl,Champagne blend,England,Sparkling,English Sparkling Wine,Within 2 years of purchase,Emma Rice and Jacob Leadley,32,7,4.1 out of 5 stars from 7 customers,https://www.virginwines.co.uk/wine/Z38402102951/Hattingley-Valley-Classic-Reserve-Brut
The Cup & Rings Mencia 2016,2016,13.00%,75cl,Other red grapes,Spain,Red,Light Reds,Now - End 2026,Norrel Robertson,14.99,1,1 out of 5 stars from 1 customer,https://www.virginwines.co.uk/wine/Z41946103510/The-Cup-and-Rings-Mencia
The Benevolent Pinot Grigio 2021,2021,9.50%,75cl,Pinot Grigio,Chile,White,Dry and Crisp Whites,now - 2025,,11.99,20,4.5 out of 5 stars from 20 customers,https://www.virginwines.co.uk/wine/Z41883101414/The-Benevolent-Pinot-Grigio
Albacore Reserve Shiraz 2020,2020,14.00%,75cl,Shiraz / Syrah,Australia,Red,Full Bodied Reds,Now - End 2033,Fuse Winemaking Team,12.99,3050,4.4 out of 5 stars from 3050 customers,https://www.virginwines.co.uk/wine/Z36773102291/Albacore-Reserve-Shiraz-Z36773102291
Weingut Langguth Enkircher Ellergrub Riesling Alte Reben 2020,2020,11.00%,75cl,Riesling,Germany,White,Aromatic Whites,Now - End 2030,Peter Burens,19.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z41994101465/Weingut-Langguth-Enkircher-Ellergrub-Riesling-Alte-Reben
Litmus Element 20 2014,2014,12.00%,75cl,Chardonnay blend,England,White,Aromatic Whites,Now - End 2024,John Worontschak,19.99,18,3.8 out of 5 stars from 18 customers,https://www.virginwines.co.uk/wine/Z39697103059/Litmus-Element-20
La Traversee 2018,2018,14.00%,75cl,Syrah / Shiraz blend,France,Red,Full Bodied Reds,Now - End 2029,Gavin Crisfield and Andrew Baker,29.99,97,4.6 out of 5 stars from 97 customers,https://www.virginwines.co.uk/wine/Z35989100707/La-Traversee
Chateau Musar Hochar Pere et Fils 2018,2018,14.00%,75cl,Cinsault blends,Lebanon,Red,Classic Reds,Now - End 2028,Tarek Sakr,17.99,45,4.3 out of 5 stars from 45 customers,https://www.virginwines.co.uk/wine/Z40237101961/Chateau-Musar-Hochar-Pere-et-Fils
El Zumbido Viura 2021,2021,12.00%,75cl,Viura,Spain,White,Dry and Crisp Whites,Now - End 2024,Antonio Serrano,9.99,2345,3.9 out of 5 stars from 2345 customers,https://www.virginwines.co.uk/wine/Z37554102647/El-Zumbido-Viura
Bastions V Shiraz 2021,2021,14.00%,75cl,Shiraz / Syrah,South Africa,Red,Full Bodied Reds,Now - End 2025,Ryno Booysen,10.99,1223,4.2 out of 5 stars from 1223 customers,https://www.virginwines.co.uk/wine/Z37423100009/Bastions-V-Shiraz
Reserve de Millenaire Tete de Cuvee Bourgogne Blanc 2020,2020,13.00%,75cl,Chardonnay,France,White,Dry and Crisp Whites,Now - End 2024,Edouard Cassanet,11.99,402,3.8 out of 5 stars from 402 customers,https://www.virginwines.co.uk/wine/Z33818100780/Reserve-de-Millenaire-Tete-de-Cuvee-Bourgogne-Blanc
Finca Manzanos Seleccion de la Familia Rioja 2020,2020,13.50%,75cl,Tempranillo (Rioja),Spain,Red,Classic Reds,Now - End 2025,Borja Ripa and Victor Fernadez de Manzanos,11.99,2939,4.1 out of 5 stars from 2939 customers,https://www.virginwines.co.uk/wine/Z35385101434/Finca-Manzanos-Seleccion-de-la-Familia-Rioja
Ulrich Langguth Piesporter Goldtropfchen Trocken Grosses Gewachs 2018,2018,12.00%,75cl,Riesling,Germany,White,Aromatic Whites,Now - End 2035,Peter Burens,24.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z41995101465/Ulrich-Langguth-Piesporter-Goldtropfchen-Trocken-Grosses-Gewachs
Tuffers' Tipple Without a Paddle Chardonnay 2021,2021,13.50%,75cl,Chardonnay,Australia,White,Oaky Whites,Now - End 2025,Frederique Perrin,12.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z41844103330/Tuffers-Tipple-Without-a-Paddle-Chardonnay
La Serena Gemini Brunello di Montalcino DOCG Riserva 2016,2016,15.00%,75cl,Sangiovese (Chianti),Italy,Red,Classic Reds,Now - End 2032,Andrea Mantengoli,69.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z41964101935/La-Serena-Gemini-Brunello-di-Montalcino-DOCG-Riserva
The Comeback Kid Langhorne Creek Cabernet 2020,2020,14.50%,75cl,Cabernet Sauvignon,Australia,Red,Full Bodied Reds,Now - End 2027,Steve Grimley,16.99,54,4.4 out of 5 stars from 54 customers,https://www.virginwines.co.uk/wine/Z41271102291/The-Comeback-Kid-Langhorne-Creek-Cabernet
Black Flag Winemakers Adelaide Hills Chardonnay 2020,2020,13.00%,75cl,Chardonnay,Australia,White,Dry and Crisp Whites,Now - End 2030,Steve Grimley,16.99,63,4.1 out of 5 stars from 63 customers,https://www.virginwines.co.uk/wine/Z39670102291/Black-Flag-Winemakers-Adelaide-Hills-Chardonnay
Three Gables Western Cape Cinsault Malbec 2021,2021,13.50%,75cl,Cinsault blends,South Africa,Red,Full Bodied Reds,Now - End 2025,Ryno Booysen,11.99,59,3.9 out of 5 stars from 59 customers,https://www.virginwines.co.uk/wine/Z41650100009/Three-Gables-Western-Cape-Cinsault-Malbec
Johann Wolf Pinot Gris 2020,2020,12.50%,75cl,Pinot Gris,Germany,White,Aromatic Whites,Now - End 2023,Bernhard Schug,10.99,213,4.1 out of 5 stars from 213 customers,https://www.virginwines.co.uk/wine/Z37743102638/Johann-Wolf-Pinot-Gris
Sherwood Estate Stratum Pinot Noir 2020,2020,13.00%,75cl,Pinot Noir,New Zealand,Red,Light Reds,Now - End 2025,Petter Evans,13.99,59,4 out of 5 stars from 59 customers,https://www.virginwines.co.uk/wine/Z39721191434/Sherwood-Estate-Stratum-Pinot-Noir
Bendico Terre Siciliane Vermentino 2020,2020,12.50%,75cl,Vermentino,Italy,White,Aromatic Whites,Now - End 2023,Mimmo De Gregorio,9.99,602,4.1 out of 5 stars from 602 customers,https://www.virginwines.co.uk/wine/Z40137103167/Bendico-Terre-Siciliane-Vermentino-Z40137103167
Hiestand Asia de Cuba Riesling NV,NV,10.50%,75cl,Riesling,Germany,White,Sweeter Style Whites,Within 3 years of purchase,Gunther Hiestand,14.99,265,4.2 out of 5 stars from 265 customers,https://www.virginwines.co.uk/wine/Z37269102551/Hiestand-Asia-de-Cuba-Riesling
Que Syrah Syrah 2020,2020,14.00%,75cl,Syrah / Shiraz blend,USA,Red,Full Bodied Reds,Now - End 2024,Natale Gagliardo,10.99,690,3.9 out of 5 stars from 690 customers,https://www.virginwines.co.uk/wine/Z36441101414/Que-Syrah-Syrah
Chateau Macquin St Georges St Emilion 2018,2018,14.50%,75cl,Merlot blends,France,Red,Classic Reds,Now - End 2028,Denis Corre-Macquin,16.99,63,4.3 out of 5 stars from 63 customers,https://www.virginwines.co.uk/wine/Z39811100780/Chateau-Macquin-St-Georges-St-Emilion
Tuffers' Tipple Up The Creek Shiraz 2020,2020,14.00%,75cl,Shiraz / Syrah,Australia,Red,Full Bodied Reds,Now - End 2026,Frederique Perrin,12.99,1,4 out of 5 stars from 1 customer,https://www.virginwines.co.uk/wine/Z41843103330/Tuffers-Tipple-Up-The-Creek-Shiraz
La Serena Rosso di Montalcino DOC 2018,2018,14.00%,75cl,Sangiovese (Chianti),Italy,Red,Classic Reds,Now - End 2025,Andrea Mantengoli,19.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z41963101935/La-Serena-Rosso-di-Montalcino-DOC
Seraph Sauvignon Blanc 2020,2020,12.00%,75cl,Sauvignon Blanc,France,White,Dry and Crisp Whites,Now - End 2024,Francois Chainier,11.99,2251,3.9 out of 5 stars from 2251 customers,https://www.virginwines.co.uk/wine/Z33717100020/Seraph-Sauvignon-Blanc
Pizo Carinena 2021,2021,14.00%,75cl,Carignan,Spain,Red,Full Bodied Reds,Now - End 2027,Antonio Serrano,9.99,2231,4.1 out of 5 stars from 2231 customers,https://www.virginwines.co.uk/wine/Z37508102647/Pizo-Carinena
Chateau Dereszla Furmint Dry 2019,2019,12.00%,75cl,Other white grapes,Hungary,White,Aromatic Whites,Now - End 2024,Bai Edit,11.99,82,4.1 out of 5 stars from 82 customers,https://www.virginwines.co.uk/wine/Z37627102128/Chateau-Dereszla-Furmint-Dry
Billy Bosch Semillon 2021,2021,13.00%,75cl,Semillon,South Africa,White,Dry and Crisp Whites,Now - End 2024,Ryno Booysen,9.99,774,4.2 out of 5 stars from 774 customers,https://www.virginwines.co.uk/wine/Z38405100009/Billy-Bosch-Western-Cape-Semillon
Vashon Estate Cabernet Sauvignon Merlot 2021,2021,14.00%,75cl,Cabernet blend,Australia,Red,Full Bodied Reds,Now - End 2027,Fuse Winemaking Team,10.99,506,4.2 out of 5 stars from 506 customers,https://www.virginwines.co.uk/wine/Z36801102291/Vashon-Estate-Cabernet-Sauvignon-Merlot
Mountain View Marlborough Sauvignon Blanc 2020,2020,9.50%,75cl,Sauvignon Blanc,New Zealand,White,Fruity Whites,Now - End 2023,Beth Forrest,13.99,226,4.2 out of 5 stars from 226 customers,https://www.virginwines.co.uk/wine/Z38660100586/Mountain-View-Marlborough-Sauvignon-Blanc
Targa Rioja Organic Tempranillo Garnacha 2020,2020,13.50%,75cl,Tempranillo blend,Spain,Red,Full Bodied Reds,Now - End 2025,Borja Ripa,16.99,474,4.2 out of 5 stars from 474 customers,https://www.virginwines.co.uk/wine/Z39045101434/Targa-Rioja-Organic-Tempranillo-Garnacha
Perez Cruz Cabernet Sauvignon Reserva 2018,2018,13.50%,75cl,Cabernet Sauvignon,Chile,Red,Full Bodied Reds,Now - End 2023,German Lyon,13.99,1826,4.3 out of 5 stars from 1826 customers,https://www.virginwines.co.uk/wine/Z33510100826/Perez-Cruz-Cabernet-Sauvignon-Reserva
Pizo Garnacha Blanca 2020,2020,13.00%,75cl,Grenache Blanc,Spain,White,Aromatic Whites,Now - End 2024,Antonio Serrano,10.99,309,3.9 out of 5 stars from 309 customers,https://www.virginwines.co.uk/wine/Z41302102647/Pizo-Garnacha-Blanca
Champagne Laurent Perrier La Cuvee NV,NV,12.00%,75cl,Champagne blend,France,Sparkling,Champagne,Within 3 years of purchase,Michel Fauconnet,43.99,161,4.6 out of 5 stars from 161 customers,https://www.virginwines.co.uk/wine/Z37370101639/Champagne-Laurent-Perrier-La-Cuvee
Chateau de Lancyre La Rouviere Pic St Loup Blanc 2019,2019,13.50%,75cl,Roussanne blend,France,White,Aromatic Whites,Now - End 2023,Regis Valentin,14.99,22,4.1 out of 5 stars from 22 customers,https://www.virginwines.co.uk/wine/Z36763101434/Chateau-de-Lancyre-La-Rouviere-Pic-St-Loup-Blanc
5OS Project Nero Blend 2018,2018,14.50%,75cl,Nero d'Avola,Australia,Red,Full Bodied Reds,Now - End 2023,Steve Grimley,16.99,48,4.4 out of 5 stars from 48 customers,https://www.virginwines.co.uk/wine/Z37194102291/5OS-Project-Nero-Blend
Peter-Jakob Kuhn Rheinschiefer Hallgartgen Riesling Trocken 2019,2019,12.00%,75cl,Riesling,Germany,White,Aromatic Whites,Now - End 2029,Peter Bernhard Kuhn,21.99,17,4.4 out of 5 stars from 17 customers,https://www.virginwines.co.uk/wine/Z40793103324/Peter-Jakob-Kuhn-Rheinschiefer-Hallgartgen-Riesling-Trocken
5oS Project McLaren Vale Shiraz Roussanne 2018,2018,14.50%,75cl,Roussanne,Australia,Red,Full Bodied Reds,Now - End 2030,Steve Grimley,19.99,11,4.8 out of 5 stars from 11 customers,https://www.virginwines.co.uk/wine/Z40328102291/5OS-Project-McLaren-Vale-Shiraz-Roussanne
Kir Yianni Assyrtiko 2020,2020,13.00%,75cl,Other white grapes,Greece,White,Dry and Crisp Whites,Now - End 2024,Stellios Boutaris,14.99,32,4.3 out of 5 stars from 32 customers,https://www.virginwines.co.uk/wine/Z40795102951/Kir-Yianni-Assyrtiko
Olivier Leflaive Pernand-Vergelesses Rouge 2020,2020,13.50%,75cl,Pinot Noir,France,Red,Classic Reds,Now - End 2029,Olivier Leflaive,34.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z42272102131/Olivier-Leflaive-Pernand-Vergelesses-Rouge
Domaine des Deux Roches Saint Veran Rives de Longsault 2019,2019,13.50%,75cl,Chardonnay,France,White,Oaky Whites,Now - End 2029,Christian Collovray and Jean-Luc Terrier,23.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z42266102131/Saint-Veran-Rives-de-longsault-Des-Deux-Roches
Le Zeitgeist Grenache Syrah 2021,2021,13.00%,75cl,Grenache / Garnacha blend,France,Red,Fruity Reds,Now - End 2027,Cedric Ragues,10.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z42196101414/Le-Zeitgeist-Grenache-Syrah
Abel Mendoza Rioja DOCa Jarrarte Blanco 2021,2021,14.00%,75cl,Viura blend,Spain,White,Aromatic Whites,Now - End 2025,Abel Mendoza,15.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z42140101434/Abel-Mendoza-Rioja-DOCa-Jarrarte-Blanco
Capcanes Sense Cap DO Cava NV,NV,11.50%,75cl,Other white grapes,Spain,Sparkling,Other,Within 3 years of purchase,Anna Rovira,14.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z42100101434/Capcanes-Sense-Cap-DO-Cava
Capcanes Mas Torto Garnacha 2020,2020,11.50%,75cl,Grenache / Garnacha blend,Spain,Red,Full Bodied Reds,Now - End 2027,Anna Rovira,24.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z42099101434/Capcanes-Mas-Torto-Garnacha
De Martino Enigma 10 Special Edition 2021,2021,14.00%,75cl,Cabernet blend,Chile,Red,Full Bodied Reds,Now - End 2027,Nicolas Perez,19.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z42077100741/De-Martino-Enigma-10-Special-Edition
Magic & Bird Padthaway Shiraz 2021,2021,14.00%,75cl,Shiraz / Syrah,Australia,Red,Full Bodied Reds,Now - End 2028,Andrea Maxwell,16.99,2,5 out of 5 stars from 2 customers,https://www.virginwines.co.uk/wine/Z41930102291/Magic-and-Bird-Padthaway-Shiraz
Revino Montepulciano d'Abruzzo 2020,2020,13.00%,75cl,Montepulciano,Italy,Red,Fruity Reds,Now - End 2028,Revino Winemaking Team,10.99,25,2.2 out of 5 stars from 25 customers,https://www.virginwines.co.uk/wine/Z42019100790/Revino-Montepulciano-dAbruzzo
Rustle & Hustle Wine Co. Langhorne Creek Shiraz 2021,2021,14.50%,75cl,Shiraz / Syrah,Australia,Red,Full Bodied Reds,Now - End 2028,Andrea Maxwell,11.99,12,4.2 out of 5 stars from 12 customers,https://www.virginwines.co.uk/wine/Z41913102291/Rustle-and-Hustle-Wine-Co.-Langhorne-Creek-Shiraz
The Pullhams Bin 22 Barossa Valley Shiraz 2022,2022,14.00%,75cl,Shiraz / Syrah,Australia,Red,Full Bodied Reds,Now - End 2028,Anonymous,19.99,92,4.6 out of 5 stars from 92 customers,https://www.virginwines.co.uk/wine/Z36686102291/The-Pullhams-Bin-22-Barossa-Valley-Shiraz
Vat 39 Clare Valley Shiraz Viognier 2019,2019,14.00%,75cl,Syrah Shiraz Blends,Australia,Red,Full Bodied Reds,Now - End 2027,Steve Grimley,17.99,30,4.5 out of 5 stars from 30 customers,https://www.virginwines.co.uk/wine/Z41288102291/Vat-39-Clare-Valley-Shiraz-Viognier-Z41288102291
Le Plaisir Blanc Roger Sabon Vin de France 2021,2021,13.50%,75cl,Viognier Blends,France,White,Aromatic Whites,Now - End 2025,Didier Negron,14.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z42244103391/Le-Plaisir-Blanc-Roger-Sabon-Vin-de-France
Penombre Reserve Cinsault Vieilles Vignes 2021,2021,14.00%,75cl,Cinsault,France,Red,Fruity Reds,Now - End 2026,Pierre Escudie and Kim Tidy,15.99,3,4.7 out of 5 stars from 3 customers,https://www.virginwines.co.uk/wine/Z42076103465/Penombre-Reserve-Cinsault-Vieilles-Vignes
Xavier Vignon 80 Year Old Mourvedre 2015,2015,15.00%,75cl,Mourvedre / Monastrell,France,Red,Full Bodied Reds,Now - End 2026,Xavier Vignon,21.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z41981103330/Xavier-Vignon-80-Year-Old-Mourvedre
Debut Chateauneuf-du-Pape 2018,2018,15.00%,75cl,Grenache / Garnacha blend,France,Red,Full Bodied Reds,Now - End 2027,Xavier Vignon,29.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z42058103330/Debut-Chateauneuf-du-Pape
Xavier Vignon 80 Year Old Grenache NV,NV,15.00%,75cl,Grenache / Garnacha,France,Red,Full Bodied Reds,Within 6 years of purchase,Xavier Vignon,21.99,2,3 out of 5 stars from 2 customers,https://www.virginwines.co.uk/wine/Z41980103330/Xavier-Vignon-80-Year-Old-Grenache
Le Sabounet Roger Sabon Vin de France 2021,2021,14.00%,75cl,Grenache / Garnacha blend,France,Red,Fruity Reds,Now - End 2028,Didier Negron,14.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z42245103391/Le-Sabounet-Roger-Sabon-Vin-de-France
Twin Pass Swartland Viognier 2021,2021,14.00%,75cl,Viognier,South Africa,White,Fruity Whites,Now - End 2027,Jacques Theron,12.99,18,3.7 out of 5 stars from 18 customers,https://www.virginwines.co.uk/wine/Z41984101414/Twin-Pass-Swartland-Viognier
Black Flag Winemakers Red Blend 2018,2018,14.50%,75cl,Syrah / Shiraz blend,Australia,Red,Full Bodied Reds,Now - End 2035,Steve Grimley,18.99,1,5 out of 5 stars from 1 customer,https://www.virginwines.co.uk/wine/Z42231102291/Black-Flag-Winemakers-Red-Blend-Z42231102291
Crowded Hour Shiraz 2018,2018,15.00%,75cl,Shiraz / Syrah,Australia,Red,Full Bodied Reds,Now - End 2028,Andrea Maxwell,15.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z41357102291/Crowded-Hour-McLaren-Vale-Shiraz
Vanguard Perdeberg Cabernet Merlot 2021,2021,14.50%,75cl,Cabernet blend,South Africa,Red,Fruity Reds,Now - End 2027,Nadia Engelbrecht,12.99,20,4 out of 5 stars from 20 customers,https://www.virginwines.co.uk/wine/Z41985101414/Vanguard-Perdeberg-Cabernet-Merlot
El Nubarron Pinot Noir 2021,2021,12.50%,75cl,Pinot Noir,Chile,Red,Light Reds,Now - End 2025,Oscar Salas Steinlen,11.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z42059101414/El-Nubarron-Pinot-Noir
Ovington's Swartland Chardonnay 2021,2021,12.50%,75cl,Chardonnay,South Africa,White,Dry and Crisp Whites,Now - End 2025,Jacques Theron,9.99,17,3.8 out of 5 stars from 17 customers,https://www.virginwines.co.uk/wine/Z42075101414/Ovingtons-Swartland-Chardonnay
Hielo y Fuego Malbec 2021,2021,13.00%,75cl,Malbec,Chile,Red,Full Bodied Reds,Now - End 2025,Hernan de la Barra,10.99,2,3.5 out of 5 stars from 2 customers,https://www.virginwines.co.uk/wine/Z42066101414/Hielo-y-Fuego-Malbec
Weingut Brundlmayer Kamptal DAC Gruner Veltliner Terrassen 2021,2021,12.00%,75cl,Gruner Veltliner,Austria,White,Aromatic Whites,Now - End 2028,Willi Brundlmayer,19.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z42147102131/Weingut-Brundlmayer-Kamptal-DAC-Gruner-Veltliner-Terrassen
Domaine Billaud-Simon Chablis Grand Cru Valmur 2020,2020,13.50%,75cl,Chardonnay,France,White,Dry and Crisp Whites,Now - End 2030,Olivier Bailly,89.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z42158102131/Domaine-Billaud-Simon-Chablis-Grand-Cru-Valmur
