name,year,abv,size,grape type,country,wine_type,style,at its best,wine maker,price per bottle,num_review,rating,url
Castillo de Logrono Familia Manzanos Barrica Rioja Blanco 2020,2020,12.50%,75cl,Viura blend,Spain,White,Fruity Whites,Now - End 2026,Borja Ripa,19.99,517,4.1 out of 5 stars from 517 customers,https://www.virginwines.co.uk/wine/Z39808101434/Castillo-de-Logrono-Familia-Manzanos-Barrica-Rioja-Blanco
Peller Family Estate Ice Wine Vidal 2017,2017,11.00%,37.5cl,Other white grapes,Canada,Dessert,Dessert Wine,Now - End 2034,Katie Dickieson,37.99,8,4.8 out of 5 stars from 8 customers,https://www.virginwines.co.uk/wine/Z39874102951/Peller-Family-Estate-Ice-Wine-Vidal
Abel Mendoza Rioja DOCa Jarrarte 2019,2019,13.50%,75cl,Tempranillo (Rioja),Spain,Red,Classic Reds,Now - End 2027,Abel Mendoza,13.99,19,3.8 out of 5 stars from 19 customers,https://www.virginwines.co.uk/wine/Z39823101434/Abel-Mendoza-Rioja-DOCa-Jarrarte
Adega Ponte da Boga DO Ribeira Sacra Mencia 2018,2018,13.00%,75cl,Other red grapes,Spain,Red,Light Reds,Now - End 2022,,12.99,15,3.7 out of 5 stars from 15 customers,https://www.virginwines.co.uk/wine/Z39653101434/Adega-Ponte-da-Boga-DO-Ribeira-Sacra-Mencia
Chateau La Raze Beauvallet Medoc Cru Bourgeois 2016,2016,13.00%,75cl,Cabernet blend,France,Red,Classic Reds,Now - End 2025,Guillaume Sourice ,15.99,25,4 out of 5 stars from 25 customers,https://www.virginwines.co.uk/wine/Z39848103128/Chateau-La-Raze-Beauvallet-Medoc-Cru-Bourgeois
Abel Mendoza Rioja DOCa Viura 2018,2018,14.50%,75cl,Viura,Spain,White,Aromatic Whites,Now - End 2029,Abel Mendoza,27.99,4,4 out of 5 stars from 4 customers,https://www.virginwines.co.uk/wine/Z39822101434/Abel-Mendoza-Rioja-DOCa-Viura
La Serena Brunello di Montalcino DOCG 2017,2017,14.50%,75cl,Sangiovese,Italy,Red,Classic Reds,Now - End 2033,Andrea Mantengoli,39.99,13,4.3 out of 5 stars from 13 customers,https://www.virginwines.co.uk/wine/Z39751101935/La-Serena-Brunello-di-Montalcino-DOCG
Tall Gum Chardonnay Semillon 2021,2021,13.00%,75cl,Chardonnay blend,Australia,White,Dry and Crisp Whites,Now - End 2023,David King,9.99,647,4 out of 5 stars from 647 customers,https://www.virginwines.co.uk/wine/Z39705101414/Tall-Gum-Chardonnay-Semillon
Billy Bosch Highwire Shiraz 2021,2021,14.50%,75cl,Shiraz / Syrah,South Africa,Red,Full Bodied Reds,Now - End 2026,Alecia Boshoff,10.99,1011,4.2 out of 5 stars from 1011 customers,https://www.virginwines.co.uk/wine/Z39644101414/Billy-Bosch-Highwire-Shiraz
Villa Wolf Gewurztraminer 2020,2020,12.00%,75cl,Gewurztraminer,Germany,White,Aromatic Whites,Now - End 2023,Bernhard Schug,12.99,66,4.1 out of 5 stars from 66 customers,https://www.virginwines.co.uk/wine/Z39859102638/Villa-Wolf-Gewurztraminer
