name,Mix Case?,abv,year,size,country,wine_type,price,num_review,rating,url
Yarrunga Field Special Reserve Shiraz 2020,0,13.5,2020,750.0,Australia,Red Wine,10.99,546,3.7,https://www.laithwaites.co.uk/product/Yarrunga-Field-Special-Reserve-Shiraz-2020/2265520
T-Bone Malbec 2021,0,13.0,2021,750.0,Argentina,Red Wine,9.99,21,3.0,https://www.laithwaites.co.uk/product/T-Bone-Malbec-2021/4201421
Castillo Labastida Tempranillo 2021,0,13.5,2021,750.0,Spain,Red Wine,11.99,5,3.4,https://www.laithwaites.co.uk/product/Castillo-Labastida-Tempranillo-2021/4221021
Le Coq Léon 2020,0,12.5,2020,750.0,France,Red Wine,10.99,61,3.8,https://www.laithwaites.co.uk/product/Le-Coq-L%C3%A9on-2020/3960720
Pattes Noires Merlot 2019,0,13.5,2019,750.0,France,Red Wine,11.99,48,3.7,https://www.laithwaites.co.uk/product/Pattes-Noires-Merlot-2019/4215319
Palacio del Conde Gran Reserva 2014,0,14.0,2014,750.0,Spain,Red Wine,11.99,582,3.4,https://www.laithwaites.co.uk/product/Palacio-del-Conde-Gran-Reserva-2014/0002714
Corsiero Nero Purosangue 2020,0,13.5,2020,750.0,Italy,Red Wine,17.49,262,4.4,https://www.laithwaites.co.uk/product/Corsiero-Nero-Purosangue-2020/2641520
Château Les Aubitriés 2020,0,13.5,2020,750.0,France,Red Wine,13.99,4,4.5,https://www.laithwaites.co.uk/product/Ch%C3%A2teau-Les-Aubitri%C3%A9s-2020/4212820
d'Arenberg Thunderstep Shiraz 2020,0,14.5,2020,750.0,Australia,Red Wine,22.0,2,4.5,https://www.laithwaites.co.uk/product/d'Arenberg-Thunderstep-Shiraz-2020/3961320
Ultima Edizione NV,0,13.5,NV,750.0,Italy,Red Wine,12.99,373,4.2,https://www.laithwaites.co.uk/product/Ultima-Edizione-2020/0232521
Hacienda de Lluna Shiraz 2020,0,14.0,2020,750.0,Spain,Red Wine,9.49,157,3.0,https://www.laithwaites.co.uk/product/Hacienda-de-Lluna-Shiraz-2020/1554520
