wine_type,size (cL),name,price,rating,num_review,country,abv,year,url
white,75,Most Wanted Pinot Grigio,7.75,4.7,12,Italy,12,2020,https://groceries.morrisons.com/products/most-wanted-pinot-grigio-500623011
white,75,Echo Falls White,5.19,4,2,United States,11.5,NV,https://groceries.morrisons.com/products/echo-falls-white-212333011
white,75,Casillero del Diablo Reserva Chardonnay,7.5,4,5,Chile,13,2021,https://groceries.morrisons.com/products/casillero-del-diablo-reserva-chardonnay-119957011
white,75,Barefoot Chardonnay White Wine,6.75,4.3,31,United States,13.5,NV,https://groceries.morrisons.com/products/barefoot-chardonnay-white-wine-379847011
white,75,Workshop Australia White,4.99,5,1,Australia,11.5,NV,https://groceries.morrisons.com/products/workshop-australia-white-557785011
white,75,19 Crimes Sauvignon Block,9,4,6,Australia,12,2020,https://groceries.morrisons.com/products/19-crimes-sauvignon-block-546527011
white,225,Morrisons The Best Pinot Grigio,18,5,1,Italy,12.5,,https://groceries.morrisons.com/products/morrisons-the-best-pinot-grigio-530798011
white,75,Morrisons Chenin Blanc,4.79,4,2,South Africa,11.5,2019,https://groceries.morrisons.com/products/morrisons-chenin-blanc-421254011
white,75,Yellow Tail Sauvignon Blanc,7,5,1,Australia,11.5,2020,https://groceries.morrisons.com/products/yellow-tail-sauvignon-blanc-377187011
white,75,Giesen Estate Sauvignon Blanc Wine,9,4.8,8,New Zealand,12.5,2020,https://groceries.morrisons.com/products/giesen-estate-sauvignon-blanc-wine-324148011
white,75,Most Wanted Chardonnay,7.75,5,1,Australia,13.5,,https://groceries.morrisons.com/products/most-wanted-chardonnay-583428011
white,75,Silver Mine Chardonnay,4.79,0,0,Bulgaria,12,2021,https://groceries.morrisons.com/products/silver-mine-chardonnay-587790011
white,75,Te Pa Signature Series Sauvignon Blanc,10,4.3,3,New Zealand,13,2020,https://groceries.morrisons.com/products/te-pa-signature-series-sauvignon-blanc-565448011
white,75,McGuigan Reserve Chardonnay,7,3.7,3,Australia,13,2021,https://groceries.morrisons.com/products/mcguigan-reserve-chardonnay-119900011
white,75,64 Edge Marlborough Sauvignon Blanc,9,5,4,New Zealand,13,2019,https://groceries.morrisons.com/products/64-edge-marlborough-sauvignon-blanc-406230011
white,75,Villa Maria Sauvignon Blanc Cellar Selection,12,0,0,New Zealand,14,2020,https://groceries.morrisons.com/products/villa-maria-sauvignon-blanc-cellar-selection-553789011
white,75,Stoneleigh Sauvignon Blanc White Wine,10,4.5,4,New Zealand,13,2020,https://groceries.morrisons.com/products/stoneleigh-sauvignon-blanc-white-wine-552693011
white,75,Cono Sur Bicicleta Viognier,7.5,4.5,4,Chile,13.5,2022,https://groceries.morrisons.com/products/cono-sur-bicicleta-viognier-119954011
white,75,Gallo Family Vineyards Chardonnay White Wine,6,4.3,3,U,13,2019,https://groceries.morrisons.com/products/gallo-family-vineyards-chardonnay-white-wine-119943011
white,75,Workshop Bench Blend Sauvignon Blanc,4.79,2.5,6,Australia,11,2018,https://groceries.morrisons.com/products/workshop-bench-blend-sauvignon-blanc-451530011
white,75,Campo Viejo Rioja Blanco White Wine,8.25,4,2,Spain,12.5,2020,https://groceries.morrisons.com/products/campo-viejo-rioja-blanco-white-wine-380786011
white,150,Barefoot On Tap Pinot Grigio White Wine,13,4.6,31,United States,12,NV,https://groceries.morrisons.com/products/barefoot-on-tap-pinot-grigio-white-wine-551911011
white,150,Barefoot On Tap White Zinfandel Rose Wine,13,4.6,31,United States,8,NV,https://groceries.morrisons.com/products/barefoot-on-tap-white-zinfandel-rose-wine-551910011
white,75,Louis Alexandre Sauvignon Blanc,7.5,3.2,5,France,11.5,2014,https://groceries.morrisons.com/products/louis-alexandre-sauvignon-blanc-287466011
white,75,The Horologist Sauvignon Blanc,9,4.3,15,New Zealand,13,2020,https://groceries.morrisons.com/products/the-horologist-sauvignon-blanc-304215011
white,75,Squealing Pig Chardonnay,10,0,0,Australia,13,2018,https://groceries.morrisons.com/products/squealing-pig-chardonnay-480651011
white,75,Florio Vecchioflorio Marsala Superiore Dolce,11,0,0,Italy,18,2017,https://groceries.morrisons.com/products/florio-vecchioflorio-marsala-superiore-dolce-551490011
white,75,McGuigan Reserve Pinot Grigio,7.5,0,0,Australia,12,2021,https://groceries.morrisons.com/products/mcguigan-reserve-pinot-grigio-533873011
white,75,Don Simon Nature Sauvignon Blanc,4.99,0,0,,,,https://groceries.morrisons.com/products/don-simon-nature-sauvignon-blanc-590047011
white,75,Penfolds Koonunga Hill Chardonnay,10,0,0,Australia,13.5,2019,https://groceries.morrisons.com/products/penfolds-koonunga-hill-chardonnay-533891011
white,75,Trivento White Malbec,7,5,1,Argentina,12,2021,https://groceries.morrisons.com/products/trivento-white-malbec-583432011
white,75,McGuigan Reserve Sauv Blanc,7.5,4,2,Australia,12.5,2021,https://groceries.morrisons.com/products/mcguigan-reserve-sauv-blanc-480660011
white,75,The Wanted Chardonnay,8.5,4.8,4,Italy,14,2020,https://groceries.morrisons.com/products/the-wanted-chardonnay-552692011
white,75,Morrisons The Best Chablis,16,3,4,France,12.5,,https://groceries.morrisons.com/products/morrisons-the-best-chablis-119834011
white,75,Vinus By Paul MasClairette,8.5,4,3,France,12.5,2019,https://groceries.morrisons.com/products/vinus-by-paul-masclairette-289359011
white,75,64 Edge Sauvignon Blanc,7,0,0,Chile,12.5,2021,https://groceries.morrisons.com/products/64-edge-sauvignon-blanc-570686011
white,75,McGuigan BIN 156 Chardonnay,5.19,0,0,Australia,12,2018,https://groceries.morrisons.com/products/mcguigan-bin-156-chardonnay-243823011
white,37.5,Morrisons The Best Sauternes,12,0,0,France,14,,https://groceries.morrisons.com/products/morrisons-the-best-sauternes-557791011
rose,75,Morrisons The Best Marques de los Rios Rioja Blanco,8,3.3,3,Spain,13,2020,https://groceries.morrisons.com/products/morrisons-the-best-marques-de-los-rios-rioja-blanco-383075011
