,name,country,wine_type,year,scaled_price,score,num_review,abv,age,size(cL),logprice
3432,Luis Cañas Tinto Maceración Carbónica ,Spain,red,2021.0,9.78,0.0,0,13.5,1.0,75.0,0.9903388547876014
3433,El Coto Crianza,Spain,red,2018.0,8.67,4.7,35,13.0,4.0,75.0,0.9380190974762103
3434,GR-174,Spain,red,2021.0,13.73,0.0,5,14.5,1.0,75.0,1.137670537236755
3435,Tinto Figuero Viñas Viejas,Spain,red,2019.0,27.29,0.0,0,14.5,3.0,75.0,1.4360035356698966
3436,La Clave,Spain,red,2019.0,11.37,0.0,0,13.5,3.0,75.0,1.0557604646877348
3437,Cascina Fontana Barolo,Italy,red,2017.0,55.31,0.0,0,13.5,5.0,75.0,1.7428036584691655
3438,PradoRey Origen,Spain,red,2021.0,9.35,0.0,1,13.0,1.0,75.0,0.9708116108725178
3439,Domaine du Mortier Dionysos,France,red,2019.0,19.69,0.0,0,13.5,3.0,75.0,1.2942457161381182
3440,Roig Parals Camí de Cormes,Spain,red,2019.0,25.96,0.0,0,14.5,3.0,75.0,1.4143046881283317
3441,Rioja Bordón Reserva,Spain,red,2016.0,11.5,0.0,4,13.5,6.0,75.0,1.0606978403536116
3442,Mas Candí Cabòries,Spain,red,2021.0,13.94,0.0,1,12.0,1.0,75.0,1.1442627737619906
3443,Guillot-Broux Bourgogne Les Geniévrières,France,red,2017.0,23.81,0.0,1,13.0,5.0,75.0,1.3767593954048798
3444,Heinrich Naked Red,Austria,red,2018.0,10.32,0.0,0,12.8,4.0,75.0,1.0136796972911926
3445,César Márquez Pérez Pico Ferreira,Spain,red,2020.0,,0.0,0,13.5,2.0,75.0,
3446,Artuke La Condenada,Spain,red,2020.0,67.01,0.0,1,14.0,2.0,75.0,1.8261396179359148
3447,Artuke Finca de los Locos,Spain,red,2020.0,19.54,0.0,1,14.0,2.0,75.0,1.2909245593827543
3448,Occhipinti Vino di Contrada Pettineo,Italy,red,2019.0,49.08,0.0,1,13.0,3.0,75.0,1.6909045540549665
3449,Meinklang Burgenland Red,Austria,red,2020.0,11.11,0.0,0,13.0,2.0,75.0,1.0457140589408676
3450,Tarima Hill,Spain,red,2019.0,12.36,4.4,8,15.0,3.0,75.0,1.0920184707527971
3451,District 7 Cabernet Sauvignon,United States,red,2018.0,13.27,0.0,0,14.0,4.0,75.0,1.1228709228644356
3452,Tissot Trousseau Singulier,France,red,2019.0,33.93,0.0,0,13.5,3.0,75.0,1.5305838596451178
3453,Cigonyes Tinto,Spain,red,2021.0,9.35,0.0,2,14.5,1.0,75.0,0.9708116108725178
3454,Geremi Emmerre,Italy,red,2020.0,13.43,0.0,0,14.0,2.0,75.0,1.1280760126687153
3455,Partida Creus Tinto Natural,Spain,red,2021.0,16.47,0.0,1,12.0,1.0,75.0,1.2166935991697543
3456,Château Pibarnon,France,red,2017.0,37.32,0.0,0,14.0,5.0,75.0,1.5719416350744624
3457,Château Faugères,France,red,2017.0,35.09,0.0,0,15.0,5.0,75.0,1.5451833682154061
3458,Castello Monaci Negroamaro Maru,Italy,red,2020.0,10.85,0.0,0,13.0,2.0,75.0,1.0354297381845483
3459,Finca la Estacada Selección Varietales,Spain,red,2017.0,11.03,0.0,1,14.0,5.0,75.0,1.0425755124401905
3460,Domaine de l'Ecu Ange,France,red,2018.0,34.49,0.0,0,13.0,4.0,75.0,1.5376931943673908
3461,La Montesa,Spain,red,2019.0,14.54,4.6,78,14.0,3.0,75.0,1.162564406523019
3462,Envínate Benje,Spain,red,2021.0,19.01,0.0,1,12.5,1.0,75.0,1.2789821168654432
3463,Sassotondo Ombra Blu Sovana Rosso Superiore,Italy,red,2019.0,15.4,0.0,0,14.0,3.0,75.0,1.187520720836463
3464,Príncep del Priorat,Spain,red,2016.0,17.16,0.0,0,14.0,6.0,75.0,1.2345172835126867
3465,Podere Il Castellaccio Orio Bolgheri Rosso,Italy,red,2021.0,17.63,0.0,0,14.0,1.0,75.0,1.246252312299322
3466,Le Coste Rosso,Italy,red,2020.0,21.75,0.0,0,13.0,2.0,75.0,1.3374592612906562
3467,Viñedos del Jorco Las Cabañuelas,Spain,red,2018.0,11.24,0.0,0,13.5,4.0,75.0,1.0507663112330423
3468,Rojalet Negre,Spain,red,,20.25,0.0,0,14.0,,75.0,1.3064250275506875
3469,Rebels de Batea Negre,Spain,red,2020.0,12.27,0.0,1,14.0,2.0,75.0,1.0888445627270043
3470,Belguardo Bronzone Morellino di Scansano Riserva,Italy,red,2019.0,15.62,0.0,0,13.5,3.0,75.0,1.1936810295412814
3471,Niepoort Conciso Tinto,Portugal,red,2018.0,19.95,0.0,0,12.0,4.0,75.0,1.299942900022767
3472,Planeta Etna Rosso,Italy,red,2019.0,18.7,0.0,3,13.5,3.0,75.0,1.271841606536499
3473,Vi de Cada Dia Negre,Spain,red,,24.54,0.0,0,12.0,,75.0,1.3898745583909855
3474,Majas Ravin des Sieurs Syrah,France,red,2019.0,14.9,0.0,0,12.3,3.0,75.0,1.173186268412274
3475,Barón de Ley Reserva,Spain,red,2018.0,11.45,4.7,31,14.5,4.0,75.0,1.0588054866759067
3476,Les Enfants Sauvages Roi des Lézards,France,red,2014.0,18.36,0.0,0,13.0,8.0,75.0,1.2638726768652235
3477,Cantine Fina Miral Nero D'Avola,Italy,red,2021.0,8.15,0.0,0,13.0,1.0,75.0,0.9111576087399766
3478,A. Qua Tinto,Spain,red,,22.31,0.0,1,14.05,,75.0,1.3484995702838376
3479,Flor de Maig Negre,Spain,red,,19.35,0.0,1,14.0,,75.0,1.2866809693549301
3480,La Casilla,Spain,red,2020.0,14.11,0.0,1,13.0,2.0,75.0,1.1495270137543478
3481,Mas dels Ponts,Spain,red,,23.85,0.0,0,14.0,,75.0,1.3774883833761327
3482,Santa Cruz de Artazu,Spain,red,2019.0,23.08,0.0,1,14.5,3.0,75.0,1.3632358044836939
3483,Fabien Jouves Tu Vin Plus Aux Soirées,unknown,red,2021.0,15.19,0.0,0,12.5,1.0,75.0,1.1815577738627863
3484,Gran Coronas,Spain,red,2018.0,16.2,0.0,0,14.0,4.0,75.0,1.209515014542631
3485,La Vizcaína El Rapolao,Spain,red,2020.0,22.78,0.0,2,13.5,2.0,75.0,1.3575537197430816
3486,Pago de los Capellanes Reserva,Spain,red,2019.0,36.29,0.0,3,13.5,3.0,75.0,1.5597869682005565
3487,Chobeo de Peciña,Spain,red,2012.0,26.56,0.0,0,13.5,10.0,75.0,1.4242280706959798
