name,abv,year,size(cL),country,wine_type,price,num_review,rating,url,countrycode,scaled_price,logprice,price_fixed,age,score
Le Plaisir Blanc Roger Sabon Vin de France 2021,13.5,2021,75.0,France,White,14.99,0,0.0,https://www.virginwines.co.uk/wine/Z42244103391/Le-Plaisir-Blanc-Roger-Sabon-Vin-de-France,FRA,14.99,1.1758016328482794,14.99,1.0,0.0
Penombre Reserve Cinsault Vieilles Vignes 2021,14.0,2021,75.0,France,Red,15.99,3,4.7,https://www.virginwines.co.uk/wine/Z42076103465/Penombre-Reserve-Cinsault-Vieilles-Vignes,FRA,15.99,1.2038484637462348,15.99,1.0,0.0
Xavier Vignon 80 Year Old Mourvedre 2015,15.0,2015,75.0,France,Red,21.99,0,0.0,https://www.virginwines.co.uk/wine/Z41981103330/Xavier-Vignon-80-Year-Old-Mourvedre,FRA,21.99,1.3422252293607904,21.99,7.0,0.0
Debut Chateauneuf-du-Pape 2018,15.0,2018,75.0,France,Red,29.99,0,0.0,https://www.virginwines.co.uk/wine/Z42058103330/Debut-Chateauneuf-du-Pape,FRA,29.99,1.476976465759527,29.99,4.0,0.0
Xavier Vignon 80 Year Old Grenache NV,15.0,NV,75.0,France,Red,21.99,2,3.0,https://www.virginwines.co.uk/wine/Z41980103330/Xavier-Vignon-80-Year-Old-Grenache,FRA,21.99,1.3422252293607904,21.99,,0.0
Le Sabounet Roger Sabon Vin de France 2021,14.0,2021,75.0,France,Red,14.99,0,0.0,https://www.virginwines.co.uk/wine/Z42245103391/Le-Sabounet-Roger-Sabon-Vin-de-France,FRA,14.99,1.1758016328482794,14.99,1.0,0.0
Twin Pass Swartland Viognier 2021,14.0,2021,75.0,South Africa,White,12.99,18,3.7,https://www.virginwines.co.uk/wine/Z41984101414/Twin-Pass-Swartland-Viognier,ZAF,12.99,1.113609151073028,12.99,1.0,3.7
Black Flag Winemakers Red Blend 2018,14.5,2018,75.0,Australia,Red,18.99,1,5.0,https://www.virginwines.co.uk/wine/Z42231102291/Black-Flag-Winemakers-Red-Blend-Z42231102291,AUS,18.99,1.2785249647370176,18.99,4.0,0.0
Crowded Hour Shiraz 2018,15.0,2018,75.0,Australia,Red,15.99,0,0.0,https://www.virginwines.co.uk/wine/Z41357102291/Crowded-Hour-McLaren-Vale-Shiraz,AUS,15.99,1.2038484637462348,15.99,4.0,0.0
Vanguard Perdeberg Cabernet Merlot 2021,14.5,2021,75.0,South Africa,Red,12.99,20,4.0,https://www.virginwines.co.uk/wine/Z41985101414/Vanguard-Perdeberg-Cabernet-Merlot,ZAF,12.99,1.113609151073028,12.99,1.0,4.0
El Nubarron Pinot Noir 2021,12.5,2021,75.0,Chile,Red,11.99,0,0.0,https://www.virginwines.co.uk/wine/Z42059101414/El-Nubarron-Pinot-Noir,CHL,11.99,1.0788191830988487,11.99,1.0,0.0
Ovington's Swartland Chardonnay 2021,12.5,2021,75.0,South Africa,White,9.99,17,3.8,https://www.virginwines.co.uk/wine/Z42075101414/Ovingtons-Swartland-Chardonnay,ZAF,9.99,0.9995654882259823,9.99,1.0,3.8
Hielo y Fuego Malbec 2021,13.0,2021,75.0,Chile,Red,10.99,2,3.5,https://www.virginwines.co.uk/wine/Z42066101414/Hielo-y-Fuego-Malbec,CHL,10.99,1.0409976924234905,10.99,1.0,0.0
Weingut Brundlmayer Kamptal DAC Gruner Veltliner Terrassen 2021,12.0,2021,75.0,Austria,White,19.99,0,0.0,https://www.virginwines.co.uk/wine/Z42147102131/Weingut-Brundlmayer-Kamptal-DAC-Gruner-Veltliner-Terrassen,AUT,19.99,1.300812794118117,19.99,1.0,0.0
Domaine Billaud-Simon Chablis Grand Cru Valmur 2020,13.5,2020,75.0,France,White,89.99,0,0.0,https://www.virginwines.co.uk/wine/Z42158102131/Domaine-Billaud-Simon-Chablis-Grand-Cru-Valmur,FRA,89.99,1.9541942518158624,89.99,2.0,0.0
T754 Shiraz Malbec 2021,13.5,2021,75.0,South Africa,Red,10.99,4,2.5,https://www.virginwines.co.uk/wine/Z42073101414/T754-Shiraz-Malbec,ZAF,10.99,1.0409976924234905,10.99,1.0,0.0
Bodegas Luis Gurpegui Muga 50 Year Old Vine Garnacha 2020,13.5,2020,75.0,Spain,Red,19.99,1,5.0,https://www.virginwines.co.uk/wine/Z41845103330/Bodegas-Luis-Gurpegui-Muga-50-Year-Old-Vine-Garnacha,ESP,19.99,1.300812794118117,19.99,2.0,0.0
Schola Sarmenti Antieri Susumaniello IGT Salento 2020,15.0,2020,75.0,Italy,Red,16.99,0,0.0,https://www.virginwines.co.uk/wine/Z42072102454/Schola-Sarmenti-Antieri-Susumaniello-IGT-Salento,ITA,16.99,1.2301933788690456,16.99,2.0,0.0
Weingut Brundlmayer Kamptal DAC Riesling Terrassen 2021,12.0,2021,75.0,Austria,White,19.99,0,0.0,https://www.virginwines.co.uk/wine/Z42146102131/Weingut-Brundlmayer-Kamptal-DAC-Riesling-Terrassen,AUT,19.99,1.300812794118117,19.99,1.0,0.0
