rating,num_review,wine_type,size(cL),name,price,country,abv,year,url,age,score,scaled_price,logprice,countrycode,price_fixed
0.0,0,red,75.0,Mazzei Zisola Noto Rosso,15.14,Italy,13.0,2020.0,https://www.decantalo.com/uk/en/mazzei-zisola-noto-rosso.html#/1-volume-75_cl/158-year-2020,2.0,0.0,15.14,1.180125875164054,ITA,15.14
0.0,0,red,75.0,Cantine Fina Syrah,11.37,Italy,14.0,2020.0,https://www.decantalo.com/uk/en/cantine-fina-syrah.html#/1-volume-75_cl/158-year-2020,2.0,0.0,11.37,1.0557604646877348,ITA,11.37
0.0,0,red,75.0,Frank Cornelissen Susucaru Rosso,,Italy,13.0,2020.0,https://www.decantalo.com/uk/en/frank-cornelissen-susucaru-rosso.html#/1-volume-75_cl/158-year-2020,2.0,0.0,,,ITA,
0.0,0,red,75.0,Ferraton Crozes-Hermitage Calendes,18.44,France,13.5,2020.0,https://www.decantalo.com/uk/en/ferraton-crozes-hermitage-calendes.html#/1-volume-75_cl/158-year-2020,2.0,0.0,18.44,1.2657609167176105,FRA,18.44
0.0,0,red,75.0,Daterra Azos De Paraxe Mencia,24.58,Spain,12.5,2019.0,https://www.decantalo.com/uk/en/daterra-azos-de-paraxe-mencia.html#/1-volume-75_cl/114-year-2019,3.0,0.0,24.58,1.3905818785504354,ESP,24.58
0.0,0,red,75.0,Zuccardi Serie A Bonarda,17.56,Argentina,13.0,2018.0,https://www.decantalo.com/uk/en/zuccardi-serie-a-bonarda.html#/1-volume-75_cl/111-year-2018,4.0,0.0,17.56,1.2445245115700838,ARG,17.56
0.0,0,red,75.0,Michelini i Mufatto Balsa de Piedra,16.77,Argentina,13.5,2020.0,https://www.decantalo.com/uk/en/michelini-i-mufatto-balsa-de-piedra.html#/1-volume-75_cl/158-year-2020,2.0,0.0,16.77,1.2245330626060857,ARG,16.77
5.0,1,red,75.0,Raimat Turons de Vallcorba,18.53,Spain,13.5,2018.0,https://www.decantalo.com/uk/en/raimat-turons-de-vallcorba.html#/1-volume-75_cl/111-year-2018,4.0,0.0,18.53,1.2678754193188977,ESP,18.53
0.0,0,red,75.0,D'Arenberg Custodian Grenache,,Australia,14.5,2017.0,https://www.decantalo.com/uk/en/d-arenberg-custodian-grenache.html#/1-volume-75_cl/180-year-2017,5.0,0.0,,,AUS,
0.0,0,red,75.0,D'Arenberg The Anthropocene Epoch Mencia,18.4,Australia,13.2,2017.0,https://www.decantalo.com/uk/en/d-arenberg-the-anthropocene-epoch-mencia.html#/1-volume-75_cl/180-year-2017,5.0,0.0,18.4,1.2648178230095364,AUS,18.4
0.0,0,red,75.0,D'Arenberg The Love Grass Shiraz,,Australia,14.0,2015.0,https://www.decantalo.com/uk/en/d-arenberg-the-love-grass-shiraz.html#/1-volume-75_cl/108-year-2015,7.0,0.0,,,AUS,
0.0,0,red,75.0,Guerila Retro Selection Red,19.65,Slovenia,14.0,2019.0,https://www.decantalo.com/uk/en/guerila-retro-selection-red.html#/1-volume-75_cl/111-year-2018,3.0,0.0,19.65,1.2933625547114456,SVN,19.65
0.0,0,red,75.0,Guerila Retro Selection Red,19.65,Slovenia,14.0,2019.0,https://www.decantalo.com/uk/en/guerila-retro-selection-red.html#/1-volume-75_cl/114-year-2019,3.0,0.0,19.65,1.2933625547114456,SVN,19.65
